job_category;job_title;is_remote;no_degree_needed;has_insurance;schedule_type;job_country;posted_year;posted_month;annual_salary
Data Engineer;Data Engineer (Hybrid);1;0;0;Full-time;Sudan;2023;12;96773
Senior Data Analyst;"Senior Analyst; Data Management";0;0;0;Full-time;India;2023;12;79200
Data Scientist;Principle Data Scientist;0;0;0;Full-time;United Kingdom;2023;12;49920
Data Scientist;Principle Data Scientist;0;0;0;Full-time;United Kingdom;2023;12;130000
Data Scientist;Principle Data Scientist;0;0;0;Full-time;United Kingdom;2023;12;250000
Data Scientist;Health Data Scientist;0;0;0;Full-time;United States;2023;12;99049.6
Data Scientist;Health Data Scientist;0;0;0;Full-time;United States;2023;12;100000
Data Scientist;Health Data Scientist;0;0;0;Full-time;United States;2023;12;115000
Data Scientist;Health Data Scientist;0;0;0;Full-time;United States;2023;12;90000
Data Scientist;Health Data Scientist;0;0;0;Full-time;United States;2023;12;92219.3
Data Engineer;Data Engineering Team Lead;0;0;0;Full-time;United States;2023;12;147500
Data Engineer;Data Engineering Team Lead;0;0;0;Full-time;United States;2023;12;90000
Data Analyst;Data Analyst (m/f/d);0;1;0;Full-time;Germany;2023;12;105000
Data Analyst;Data Analyst (m/f/d);0;1;0;Full-time;Germany;2023;12;53014
Data Analyst;Data Analyst/Report Writer;1;1;0;Contractor;United States;2023;12;75899.2
Data Analyst;Data Analyst/Report Writer;1;1;0;Contractor;United States;2023;12;98800
Data Analyst;Data Analyst/Report Writer;1;1;0;Contractor;United States;2023;12;140400
Data Analyst;Data Analyst/Report Writer;1;1;0;Contractor;United States;2023;12;161200
Data Analyst;Data Analyst/Report Writer;1;1;0;Contractor;United States;2023;12;82500
Senior Data Scientist;Senior Data Scientist - AI/ML;1;0;0;Full-time;United States;2023;12;107700
Senior Data Scientist;Senior Data Scientist - AI/ML;1;0;0;Full-time;United States;2023;12;170500
Data Analyst;Trade Compliance Data Analyst;0;0;1;Full-time;United States;2023;12;90000
Data Analyst;Data Analyst. Job in Irving My Valley Jobs Today;0;1;0;Full-time;United Kingdom;2023;12;83200
Data Scientist;Data Scientist/Analyst;0;0;0;Full-time;United States;2023;12;119600
Data Scientist;Data Scientist/Analyst;0;0;0;Full-time;United States;2023;12;115000
